	eng	kor
0	Time runs	시간은 달려가
1	Like my dreams, day and night	마치 내 꿈처럼 day and night
2	I’m carrying them on my neck	잠시 내 목마를 태워
3	Throwing my memories outside	나의 추억들을 밖으로 던진다
4	This is like a drama without a script	이건 마치 각본 없는 drama
5	It’s an ending you’ve never thought of	생각 못 한 결말 나와
6	The dust that covered my heart before	예전의 맘속을 덮었던 먼지가
7	Now presses down on my dreams	이제는 내 꿈을 짓눌러 now
8	Throwback, swallows up the dark night	Throwback 까만 밤들을 집어삼켜
9	Now I have the bright light of the sun that I took	이제는 내가 가져가는 태양의 붉은 빛이
10	Next, in the cold dawn, I see the lonely moon	그 담에는 차가운 새벽에
11	It covers my face, intoxicating me	외로이 뜬 달 보며 얼굴을 뒤덮어 심취
12	Like it’s coloring me black	검은 색칠하듯
13	My head is burning	머릿속에 타올라 가 가득해져
14	Question marks filling me up, blaming myself	물음표가 나를 탓 탓
15	Now I’m running for an answer I can’t even see	이제는 보이지 않는 답을 위해서 달려
16	Running on my mind but I’m feeling even more frustrated	Running on my mind 하지만 속은 더 답답해
17	This is a fight for my tomorrow	이건 내 내일을 위한 격투
18	Right now, I feel like I’ve seen the future from yesterday	지금 내 상태 마치 어제의 미래를 본 듯해 yeah
19	I’m putting on a smile, letting out a sigh	미소를 씩 남에게 빌빌거리며 한숨을 픽
20	Feels like I’m taking a look at myself	지금은 오늘의 나는 날 보는 것처럼
21	A momentary silence	잠깐의 고요가 휭
22	The slower I walk, the more the wind pushes me	걸음걸이가 느려질수록 날 부추기는 바람
23	Turn up with this wandering	Turn up with this 방랑
24	Give me some time to sleep	잠시 동안 내게 잠든 시간을 줘
25	Show me an answer that’s like the wrong answer	내 삶에 더해 오답 같은 정답을 내게 show
26	What I see right now is all a lie	지금 내게 보이는 것 다 거짓말이야 이건
27	I go around but I’m stuck in the same time	돌아도 같은 시간 속 머물러있어
28	Under the blue sky, our song burns red	시퍼런 하늘 아래 붉게 타는 우리 노래
29	Our song burns red and the sandy wind tries to stop it	붉게 타는 우리 노래 앞을 막는 거친 모래바람
30	Like a whale hunting for food	타고 날아오는 먹이 사냥하는 고래
31	But I can’t just get eaten, that’s how I am	그렇다고 먹일 줄 수는 없어 나는 원래 그래
32	When stones come flying from here and there	여기저기 돌들이 다
33	I’ll cut them up with a sword	날아오면 칼로 칭칭 다 베어버린 다음
34	Turning them into pieces, making the pieces into a mountain	티끌로 만들어 티끌로 태산을 만들어
35	And giving it all back	다 되돌려준다
36	It’s boiling up, the anger I held	끓어 올라 주전자에 담긴 화
37	I’m lifting myself up from being trapped in anger	끌어 올려 거기 화에 갇힌 날
38	I wish that anger would bloom into a flower	그 화가 꽃이었음 좋겠네
39	Instead of a sea of fire, I want to be in a bed of flowers	불바다 말고 꽃밭 이었음 해
40	Devils chattering above the highway	도로 위에 악마들이 떠들어대네
41	My brain floats around the complex air	복잡함의 공기 중에 떠도는 내 뇌
42	What saved my brain are the birds that fly high	그 뇌를 낚아챈 건 높이 나는 새네
43	I’m riding on the back of those birds, flying	그 새의 등 뒤에 타 나는 비행해
71	Listen to me, I’m different	내 말을 들어 난 조금 달라
75	Looking at tomorrow, running a bit more	내일을 보고 조금 더 달려
2	I shine like the sun (Just do it like this)	빛나! 저 태양처럼(just do it like this)
3	Only one, I want to be me (Nobody but me)	Only one 내가 되고 싶어(nobody but me)
5	Believe in me, get a chance	날 믿어 get a chance
6	Who would shine if not us	우리 아님 누가 빛나
7	Good luck follows me, everyone is gathering	행운 follow me 모두 gathering
8	Even further, gathering wordwide	더 멀리 world wide 까지 gathering
9	You have too much confidence, who do you think you are	뭘 믿고 자신감 too much
10	Everyone asks me, but I just do it	묻는데 나 just do it
11	Nobody, not anyone	nobody 그 누구도
