	eng	kor
1	Whose words should I be following?	어느 장단에 맞춰야 될지
2	When I take one step forward	한 발자국 떼면
3	My shadow grows one step bigger	한 발자국 커지는 shadow
4	Waking up and opening my eyes, where am I?	잠에서 눈을 뜬 여긴 또 어디
5	Maybe Seoul or New York or Paris	어쩜 서울 또 New York or Paris
6	I’m getting up but my body’s swaying	일어나니 휘청이는 몸
8	This shadow resembles me	날 닮은 그림자
9	Is it him who’s shaking?	흔들리는 건 이놈인가
10	Or is it me and my toes?	아니면 내 작은 발끝인가
11	There’s no way I can’t be afraid	두렵잖을 리 없잖아
12	There’s no way I’m okay	다 괜찮을 리 없잖아
13	But still I know	그래도 I know
14	Awkwardly, I flow	서툴게 I flow
15	I’m flying with the dark wind	저 까만 바람과 함께 날아
17	If you don’t wanna go crazy, you gotta go crazy	미치지 않으려면 미쳐야 해
19	I’m throwing myself to both sides of the world	나를 다 던져 이 두 쪽 세상에
22	It’s a beautiful prison that I’ve walked into	제 발로 들어온 아름다운 감옥
25	Bring it, bring the pain oh yeah	가져와 bring the pain oh yeah
27	Get on, bring the pain oh yeah	올라타봐 bring the pain oh yeah
34	Everything will become my blood and flesh	모두 내 피와 살이 되겠지
36	No fear, cuz I know the way	No fear, 방법을 알겠으니
37	For every thing little, breathe	작은 것에 breathe
38	It’s my oxygen and light in the darkness	그건 어둠 속 내 산소와 빛
39	My strength for everything I do	내가 나이게 하는 것들의 힘
40	Even if I fall, I’ll get up again, scream	넘어져도 다시 일어나 scream
42	Cuz that’s what we always do	언제나 우린 그랬으니
43	Even if my knees touch the ground	설령 내 무릎이 땅에 닿을지언정
44	As long as I don’t get buried	파묻히지 않는 이상
45	It’ll be just another happening	그저 그런 해프닝쯤 될 거란 걸
49	Whatever you say, whatever anyone says	네가 뭐라던 누가 뭐라던
70	Please allow me to breathe	나의 고통이 있는 곳에
71	In this place where my pain lives	내가 숨 쉬게 하소서
79	I’ll gladly be locked in this dark abyss	깜깜한 심연 속 기꺼이 잠겨
1	Listen as I wish to hear, retaliate prejudice with atrocity	듣고 싶은 대로 막귀로
2	At the age of twenty-two still childish, fair play	색안경엔 패악질로
3	Jealous of my success? Turns green	스물둘 시기 치기 매한가진 Fair play
4	I just do my thing without having time to consider revenge	내 성공을 시기? 배 아픔
5	Just look down on them without any hard feelings	앙갚음 염두에 둘 겨를 없이 내 할 거
6	Things that scare me, about 80 percent of them	별 감정 없이 걔를 업신여겨 대할 뿐
7	Are the expectations from family, company and friends	겁이 나는 것들 중, 그중 한 8할쯤
8	The contract as if I’m scared of the trap called failure	가족 회사 친구 놈들의 기대치
9	My days are not numbered	마치 실망이란 덫이 두려 계약서 안 살아 시한부
12	Unwind the rein, come here now	고삐를 풀어봐 얼른 와 일로
13	On this trap I’m psycho	이런 Trap 위에 난 Psycho
18	Everything including your life	너의 삶까지 다 (너의 삶까지 다)
19	Yeah we run it like it’s ours	Yeah we run it like it’s ours (Yeah we run it like it’s ours)
20	When we pull up run away (Run away, run away yeah)	When we pull up 도망가 (도망가 도망가 Yeah)
21	Burn it all (Burn it all yeah)	태워 다 (태워버려 Yeah)
28	All eyes are on where I stand	내가 선 위치로 시선들 쏠려
29	Your spirit is lowered	너의 기는 구겨져 가며
30	Raise our expectation, raise our standard	우리 기대치 높여 수준도 올려
35	I’m Psycho on this trap	이런 Trap 위에 난 Psycho
2	Ha, dazzle me dazzle me	Ha, dazzle dazzle dazzle me
3	Don’t be such a tired cliché	뻔하게 평범한 거 말고
4	(Not just ordinary things)	(그저 그런 거 말고)
5	With something never heard	어디서 들어본 거 말고
6	(Never existed before)	(없었던 거 말야)
7	Dazzle me that	헉! 할 수 있게
8	I can’t help covering my mouth with hand	내 입을 틀어막을 정도로 놀래켜 봐
9	Not enough with just roses	누구나 쉽게 떠올릴
10	That anyone can think of (No way)	장미 갖곤 안 될걸 (No way)
11	Think beyond your imagination	상상을 좀 더 깨워 봐
13	Inside my head being bored	무료한 머릿속에다
14	Bang, bang, fireworks	불꽃들을 팡팡
15	Should be like that	그 정돈돼야 할 거야
17	Surprise me even more	놀라게 해 더
20	Touch my heart even more	감동시켜 더
24	If you’re confident	자신 있다면
26	I like it now	지금이 좋아
28	If you’re going to try something	해볼 거라면
29	I want it to be more	안전한 것보단
30	Adventurous than safe	모험이 좋아
33	Even mysterious Bermuda Triangle	미스테리했던 버뮤다나
34	And me being picky	까다롭다는 나나
35	Can be solved baby	풀리게 되어있어 Baby
36	So are you ready for dealing with me?	그래서 넌 날 감당할 준빈 됐어?
38	1 percent more, fill it up a little bit more	1 percent 더, 한 끗을 채워
41	Something never heard before	어디서 들어본 거 말고 Oh
49	I can’t help it	참기도 힘들어
50	It tickles my heart	심장이 간지러 Oh
51	The more I think about it, the more I get surprised	생각해볼수록 놀라운 그런 거
52	Finish it if you started	시작했으면 끝내 Yeah
67	I don’t like it to be moderate	적당한 건 싫어
68	Do it properly	제대로 해봐
70	If I have to choose	골라보자면
71	I like it running over	모자란 것보단
72	Than being not enough	넘친 게 좋아
0	There isn’t a right answer	정답은 없어
1	Stop trying to make me fit you	네게 맞추려 하지마
2	Stop trying to change me oh oh	날 바꾸려고 하지마 Oh oh
3	As if you	모든 걸 너는
4	Already know everything	다 이미 알고 있는 듯
5	You hold back laughter	웃음을 꾹 참고서
6	And wait for my answer	내 대답을 기다리고 있어
7	If the correct answer isn’t an option	보기 중에 답이 없다면
8	I cannot chose oh no oh no	나는 고르지 못해 Oh no oh no
9	Maybe within your head	아마 너의 머릿속에선
10	This scenario is already over	끝이 난 시나리오
13	I’m neither	그 무엇도 아냐 난
14	I don’t have the answer you want	니가 원하는 그 대답은 내게 없어
17	I won’t tell you	말해주지 않아 난
18	I don’t have the answer you already set	니가 정해 놓은 그 대답은 내게 없어
19	I’m going to mix anything OK OK	아무거나 섞어 버릴래 OK OK
20	It’s just different, not wrong	이게 너의 질문에 대답
21	You’ll fight already picking sides	그냥 다른 거 틀린 거는 아니야
22	I’ll take the road in between	이미 서로 싸우겠지 어느 편인지
23	that wasn’t even visible	그 사이 보이지도
24	The psyche tightens up again	않는 길로 걸어가겠어
25	With endless jealousy	또 조여오는 심리 끝없는 시기
26	You say newness is wrong and a problem	새로움을 부정하고 문제라고 칭해
27	It’ll eventually be called a mutant	결국 불리겠지 돌연변이로
38	I won’t tell you	말해 주지 않아 난
40	As you hide numerous thoughts behind your back	많은 생각을 등 뒤에 숨긴
41	Above your mask	너의 가면 위에
42	A dilemma grows deeper and deeper	더욱 깊어져만 가는 딜레마
45	A right answer is meaningless	의미 없어 정해진 답
47	No one knows that	그건 누구도 몰라
53	Countless colors	셀 수 없이 많은 Color
0	Moon, stop your work	달아 일을 멈추고 Oh
1	Keep the dark night dark	까마득한 밤을 유지해
2	The sun, keep sleeping	태양은 쭉 잠들고
3	Just do as I say	그냥 내가 시키는 대로
5	Like a fully fueled jet, broom up	기름 가득 제트처럼 Broom up
6	I’m ready, I’m ready	다 준비됐거든 준비됐거든
7	I’ll bother you endlessly	끝없이 괴롭힌 후
8	And leave nothing nothing	난 아무것도 아무것도
9	Behind and disappear	남기지 않고 사라져
10	As the corrupt mind expands	타락한 그 맘이 커질수록
11	The maze keeps morphing	자꾸만 바뀌는 미로
12	Once the cold mist surrounds you	차가운 안개가 널 감싸면
13	You won’t remember	기억하지 못할 거야
14	Close your eyes Red Sun	눈 감아 Red Sun
15	Repeating trap and night	반복되는 Trap and night
17	Circling you again	다시 또 니 주윌 맴돌아
19	The wall that blocks you, you can’t escape	니 앞을 막은 Wall 벗어날 수 없어
20	You don’t know, by a blade	You don’t know 스스로
21	You drew yourself, you’ll be in danger	꺼내든 칼날에 넌 위험에 빠질 거야
22	As the sun sets and the darkness comes	석양이 지고 어둠이 오면
23	You’ll know too, the rule here oh	너도 알게 될걸 이곳의 Rule oh
24	I’ll take you to the starting point	시작점에 널 데려다줄게
25	Again a new game come roar	또다시 새로운 Game come Roar
33	I want to laugh when I see you struggle	몸부림치는 널 보면 웃겨
37	Sink in Red Sun	빠져들어 Red Sun
41	Where nothing is	아무것도 없는 곳
42	The end of the night, the early morning air cold	이 밤의 끝 새벽의 공기가 차고
43	Your eyes now shed tears, you’ll regret it	너의 두 눈 어느새 눈물이 흐르고
44	Your whole body will shiver	후회되겠지 온몸이 떨리겠지
45	I’ll be back when that shiver stops	그 떨림이 멈추면 다시 올게
49	(It’s more fun to watch Red Sun)	(보는 게 더 재밌어 Red Sun)
53	Close your eyes again Red Sun	다시 눈 감아 Red Sun
3	Your eyes that look at me go wow!	날 보는 너의 눈빛은 Go wow!
5	No need to hesitate at all, go out	망설일 거 1도 없어 Go out!
6	Yeah, just be ready to have fun	Yeah 모두 즐길 준비만 해
10	Alright, each movement of mine receives the spotlight	All right 이 몸짓 하나하나 Spotlight
11	Yeah, you’ll be pulled to me, highlight	Yeah 이제 끌리게 돼 Highlight
12	Skintight, I wanna shine every day	Skintight 반짝일래 매일
14	Don’t be shy, fall into it	눈치 좀 보지마 빠져들어
15	I know you enjoy it	그걸 넌 즐기잖아
18	If I want something, I do it	난 내가 원한다면 뭐든지 해
19	And no one can stop me	and 누구도 나를 막지 못해
20	I won’t stop, are you ready now	멈추지 않아 Are you ready now
21	Shout it out confidently	외쳐봐 당당하게
31	Say my name Baby Ratata, you’re into me	Say my name Baby Ratata 넌 반했잖아
32	Say my name, I won’t stop, nanana	Say my name 멈추지 않아 nanana
33	Say my name Baby Ratata, I’m shining even more	Say my name Baby Ratata 더 빛나잖아
34	Say my name, shout out loud nanana	Say my name 크게 외쳐봐 nanana
36	Look into my eyes, look at my smile	내 눈을 봐 미소를 봐
37	You’ll start to follow me	따라 하게 될 걸
39	You’ll start to try	노력하게 될거야
